player_id,full_name,position,group,marchand_index,OAQ_portable,MI_primary_pinv,OAQport_primary_pinv,rankmove_primary_pinv,MI_primary_shrunk,OAQport_primary_shrunk,rankmove_primary_shrunk,MI_lensA_production_detail,OAQport_lensA_production_detail,rankmove_lensA_production_detail,MI_lensB_attention_stock,OAQport_lensB_attention_stock,rankmove_lensB_attention_stock
1,Leo Carlsson,C,f1,-0.0029911802882137,-0.0231677243510038,-0.002991180288213712,-0.023167724351003893,0.0,0.005813763482525891,0.04502960598390682,-27.0,0.032812386915800434,0.254143268581689,-89.0,-0.0069618148335644425,-0.05392166018286737,-10.0
2,Nathan Gaucher,C,f1,-0.7197043516616903,-0.6315805408281575,-0.7197043516616903,-0.6315805408281575,0.0,-0.7443274069699293,-0.6531886394210217,1.0,-0.5878368768667692,-0.5158595078007384,-7.0,-0.7755061175274659,-0.6805496895950104,10.0
3,Cutter Gauthier,L,f1,-0.0001302441639696,-0.000724854172878,-0.00013024416396960757,-0.0007248541728780422,0.0,0.03411208990574745,0.18984567108543804,-89.0,0.02521655825303213,0.14033893664208874,-61.0,-0.01842859385362285,-0.10256154861718225,19.0
4,Mikael Granlund,C,f1,0.0773162180848843,0.5487551185875864,0.0773162180848843,0.5487551185875864,0.0,0.06035663542156156,0.4283837653821049,26.0,0.026793529056215563,0.1901682024653769,116.0,0.047563981559641394,0.33758736508041454,37.0
5,Jansen Harkins,C,f1,0.0076555485691086,0.0092825217457944,0.007655548569108658,0.00928252174579447,0.0,0.1730026068546357,0.20976948231866077,-258.0,-0.4099638282446106,-0.49709019756278866,341.0,-0.3198925632974191,-0.3878767992026413,320.0
6,Ross Johnston,L,f1,-0.0258422832128797,-0.0327224378691867,-0.0258422832128798,-0.03272243786918683,0.0,-0.10194208755641065,-0.1290827748787031,105.0,-0.0748588517391264,-0.09478899773729624,84.0,0.0802707607213054,0.10164175350830273,-276.0
7,Alex Killorn,L,f1,-0.0758188498027958,-0.3212550085379025,-0.07581884980279574,-0.3212550085379023,0.0,-0.08475703619022196,-0.35912734703518306,7.0,-0.03184297337729135,-0.1349231056762446,-63.0,-0.04087290777655049,-0.17318419325639048,-64.0
8,Chris Kreider,L,f1,0.0691005228470141,0.3411407423527177,0.06910052284701411,0.34114074235271774,0.0,0.08957269176596268,0.44220931050295326,-39.0,0.14783898047302407,0.729862777723044,-103.0,0.14524037602363982,0.7170337886731828,-120.0
9,Mason McTavish,C,f1,0.2536036373762142,0.9014090150452808,0.2536036373762143,0.901409015045281,0.0,0.2660317817785619,0.945583623581915,-6.0,0.22176293539144798,0.7882343929799808,12.0,0.1897042912160618,0.6742851169806281,13.0
10,Ryan Poehling,C,f1,0.0278824745323527,0.092850936670908,0.027882474532352687,0.09285093667090796,0.0,0.027882474532352687,0.09285093667090796,13.0,0.040362660607673635,0.13441098420457265,-17.0,0.00858271114663201,0.028581135014252343,39.0
11,Beckett Sennecke,R,f1,0.1543548222427667,0.8331878375438583,0.1543548222427667,0.8331878375438583,0.0,0.1543548222427667,0.8331878375438583,2.0,0.15664064400817623,0.8455264147652221,-9.0,-0.0027718418902130874,-0.014962052477296983,255.0
12,Troy Terry,R,f1,-0.121001330679543,-0.8148525512122045,-0.121001330679543,-0.8148525512122045,0.0,-0.121001330679543,-0.8148525512122045,1.0,-0.00122929110758393,-0.00827834693694482,-189.0,-0.043746467373570984,-0.2945994093261852,-108.0
13,Frank Vatrano,R,f1,-0.1139519539614201,-0.199462387959705,-0.11395195396142012,-0.19946238795970503,0.0,-0.10895053503749114,-0.19070786531157666,-3.0,-0.23440955687612877,-0.4103123145296722,72.0,-0.17086521577384345,-0.2990838048204043,47.0
14,Jeffrey Viel,L,f1,-0.2019569703810939,-0.3653015770365045,-0.20195697038109392,-0.36530157703650457,0.0,-0.22168732408692754,-0.40099001755246405,11.0,-0.25921693626359776,-0.4688739162257106,12.0,0.051097800196206966,0.09242615869879395,-411.0
15,Tim Washe,C,f1,-0.4663121669938389,-0.8324735863525136,-0.46631216699383893,-0.8324735863525137,0.0,-0.43812913160281464,-0.7821604394802902,-6.0,-0.3486642691058888,-0.6224452525155582,-24.0,-0.29038809124788184,-0.5184089819350117,-43.0
16,John Carlson,D,d1,0.0426523723613203,0.2765245770147236,0.04265237236132031,0.27652457701472366,0.0,0.04265237236132031,0.27652457701472366,7.0,0.041710655540263604,0.2704192227004462,18.0,0.035303280109018745,0.22887881866640736,-6.0
17,Radko Gudas,D,d1,0.7279297205916415,1.4293103216214984,0.7279297205916415,1.4293103216214984,0.0,0.7099036395248066,1.3939156083705102,-1.0,0.7318567057236917,1.4370210665235357,-4.0,0.6170466049600507,1.2115882295258913,-4.0
18,Drew Helleson,D,d1,0.1563557838589409,0.3558825924349248,0.1563557838589409,0.3558825924349248,0.0,0.1563557838589409,0.3558825924349248,0.0,0.045151586616604004,0.1027698707466026,160.0,-0.05799579588023469,-0.13200467343635408,388.0
19,Tyson Hinds,D,d1,-1.1324688156230749,-2.1187426296807788,-1.1324688156230749,-2.1187426296807788,0.0,-1.132381821601549,-2.1185798720494944,0.0,-1.1797979166516992,-2.207290925748995,1.0,-0.8857133957877027,-1.6570864499277542,-1.0
20,Jackson LaCombe,D,d1,-0.0072305182663745,-0.0600765666970447,-0.0072305182663745,-0.0600765666970447,0.0,0.01167535034357451,0.09700756402055516,-50.0,-0.05188944589443998,-0.43113641959072196,105.0,0.013611155053222083,0.11309168088012139,-66.0
21,Pavel Mintyukov,D,d1,0.2144724444506888,0.6404081021658286,0.21447244445068883,0.6404081021658287,0.0,0.23945864149284649,0.7150161156525618,-13.0,0.15193750617129645,0.45368070580899433,42.0,-0.03891074122607986,-0.11618627281598759,390.0
22,Ian Moore,D,d1,0.1617161402107657,0.1974191647217236,0.1617161402107657,0.1974191647217236,0.0,0.0907422726850421,0.11077597854539512,71.0,-0.18916546833993025,-0.23092864265243312,518.0,0.07502422730656683,0.09158776773580912,74.0
23,Jacob Trouba,D,d1,0.0387396208956978,0.2629076333043444,0.0387396208956978,0.2629076333043444,0.0,0.03446460071895905,0.23389507688256686,20.0,0.0851587501920105,0.5779324874762454,-75.0,0.02640848583625058,0.17922200449646086,17.0
24,Olen Zellweger,D,d1,0.3525709785892017,0.7965731637516521,0.35257097858920167,0.796573163751652,0.0,0.3772230423509818,0.8522702392804036,-1.0,0.16679509180076818,0.37684466970491154,75.0,0.08735481659340312,0.1973631037392583,140.0
25,Viktor Arvidsson,L,f1,-0.0831852701472252,-0.2860606316242692,-0.0831852701472252,-0.2860606316242692,0.0,-0.11798419063007336,-0.4057284665131641,41.0,-0.0914588582914131,-0.31451215731068793,13.0,-0.10146229666102005,-0.3489123569296786,22.0
26,Michael Eyssimont,C,f1,0.1270127415373392,0.2017256026715015,0.1270127415373393,0.20172560267150164,0.0,0.14504356606373028,0.2303627212804329,-14.0,-0.21627712078538208,-0.34349807748746514,492.0,0.02689686281921692,0.042718437508760976,148.0
27,Morgan Geekie,C,f1,-0.0139048093784443,-0.0773891382130961,-0.013904809378444313,-0.07738913821309618,0.0,-0.013657796914154028,-0.07601435620645086,-3.0,0.0069090038621225985,0.03845301580541638,-47.0,0.03178829752741336,0.1769221629691447,-150.0
28,James Hagens,C,f1,0.0287992201206845,0.0887155015700599,0.0287992201206845,0.0887155015700599,0.0,0.08784600096020165,0.27060809297786714,-117.0,0.2013288666877393,0.6201901063253513,-228.0,0.4606557665145516,1.419042154829973,-308.0
29,Tanner Jeannot,L,f1,0.0736187523048709,0.1535415589945046,0.07361875230487096,0.15354155899450472,0.0,0.07361875230487096,0.15354155899450472,-2.0,0.17791338975471915,0.37106169791917404,-121.0,0.06893173546605307,0.14376617093189042,-14.0
30,Mark Kastelic,C,f1,-0.1366367694192762,-0.2816586095575601,-0.13663676941927616,-0.28165860955756006,0.0,-0.11804778186199516,-0.24333987287548572,-20.0,-0.12194118511447663,-0.25136560819696285,-22.0,-0.11337734860238309,-0.23371239307246766,-30.0
31,Marat Khusnutdinov,C,f1,-0.0104082190305267,-0.0309919129794358,-0.01040821903052666,-0.030991912979435682,0.0,0.07209687955767899,0.21467843929754232,-193.0,0.03703372301428829,0.11027303687567291,-111.0,-0.01053699622699551,-0.03137536490862672,-19.0
32,Sean Kuraly,C,f1,-0.1715393217852696,-0.3978443596094953,-0.17153932178526962,-0.3978443596094954,0.0,-0.18326582989778595,-0.4250411857478172,17.0,-0.25372464259884925,-0.5884535213345784,29.0,-0.19440416495379284,-0.4508738853956572,7.0
33,Elias Lindholm,C,f1,-0.132601922239831,-0.7587509230687253,-0.132601922239831,-0.7587509230687253,0.0,-0.14888485287657652,-0.8519221866688812,26.0,-0.14538381672367487,-0.8318891858809547,6.0,-0.16472764922503086,-0.9425749928298524,26.0
34,Fraser Minten,C,f1,0.1408654675742231,0.498275993198163,0.14086546757422308,0.49827599319816296,0.0,0.1767944334177167,0.6253656302010477,-34.0,0.08144093550440355,0.28807672827311115,73.0,0.10619963680584024,0.37565437731452533,3.0
35,Casey Mittelstadt,C,f1,-0.0667875876180815,-0.2353677359737394,-0.06678758761808151,-0.23536773597373944,0.0,-0.09147348825037979,-0.32236390920763724,26.0,-0.1842921953862849,-0.6494685364853114,106.0,-0.24808785817129833,-0.8742923585481344,131.0
36,David Pastrnak,R,f1,0.0006978712941814,0.0078255659766879,0.0006978712941814028,0.007825565976687932,0.0,0.0308011879410388,0.34538851275677973,-73.0,0.046708572738631444,0.5237656580671379,-112.0,0.009754464939020172,0.10938149997576696,-40.0
37,Lukas Reichel,L,f1,0.1225958173191042,0.246332797704226,0.12259581731910418,0.24633279770422598,0.0,0.16990985131831407,0.3414012806310251,-48.0,0.4291481016120242,0.8622908579693771,-147.0,0.14162976910621453,0.2845778756980541,-46.0
38,Alex Steeves,C,f1,-0.1759202111048084,-0.3363616697048309,-0.17592021110480843,-0.33636166970483095,0.0,-0.03611799207907423,-0.06905805788776254,-163.0,-0.28783151969174325,-0.5503375078348086,39.0,0.024278021024172165,0.046419883409270946,-330.0
39,Pavel Zacha,C,f1,-0.0945531674036128,-0.4796184667555828,-0.0945531674036128,-0.4796184667555828,0.0,-0.09560227309582223,-0.4849400279193055,-2.0,-0.03944158870628399,-0.20006642634151922,-72.0,-0.0808051683982571,-0.4098821016504406,-10.0
40,Jonathan Aspirot,D,d1,-0.2103070943857962,-0.461897317941263,-0.21030709438579617,-0.46189731794126293,0.0,-0.1384044200737522,-0.30397752681613616,-43.0,0.10581542095842975,0.23240233183890824,-481.0,-0.07486375763949603,-0.164423216276547,-117.0
41,Jordan Harris,D,d1,0.2931706261961652,0.524489591668649,0.2931706261961652,0.524489591668649,0.0,0.4170575975989604,0.7461264858117893,-23.0,0.09359059842099968,0.16743592421503212,153.0,-0.0409227179206353,-0.07321176712227545,434.0
42,Henri Jokiharju,D,d1,-0.0734603981217622,-0.1906402015898702,-0.07346039812176224,-0.19064020158987027,0.0,-0.06195015951053734,-0.16076949212877673,-26.0,0.2424910005489601,0.6292987025711225,-478.0,-0.1332743269597612,-0.3458658707001528,53.0
43,Hampus Lindholm,D,d1,-0.1295790607995861,-0.7023480641993872,-0.1295790607995861,-0.7023480641993872,0.0,-0.1295790607995861,-0.7023480641993872,5.0,-0.030489873575283943,-0.1652620689727451,-123.0,-0.14119334588300012,-0.7653001383621421,4.0
44,Mason Lohrei,D,d1,0.1067655340148968,0.2331794826634113,0.10676553401489687,0.23317948266341143,0.0,0.10676553401489687,0.23317948266341143,4.0,-0.04008733327502164,-0.08755207118732766,318.0,-0.0994760293680262,-0.21725896170022613,392.0
