player_id,full_name,nhl_player_id,old_team,new_team,move_type,event_date,url_1,url_2,status
4,Mikael Granlund,8475798,Stars,Ducks,,,,,needs_date
8,Chris Kreider,8475184,Rangers,Ducks,,,,,needs_date
10,Ryan Poehling,8480068,Flyers,Ducks,,,,,needs_date
14,Jeffrey Viel,8479705,Bruins,Ducks,,,,,needs_date
16,John Carlson,8474590,Capitals,Ducks,,,,,needs_date
25,Viktor Arvidsson,8478042,Oilers,Bruins,,,,,needs_date
26,Michael Eyssimont,8479591,Kraken,Bruins,,,,,needs_date
29,Tanner Jeannot,8479661,Kings,Bruins,,,,,needs_date
32,Sean Kuraly,8476374,Blue Jackets,Bruins,,,,,needs_date
37,Lukas Reichel,8482117,Blackhawks,Canucks,,,,,needs_date
37,Lukas Reichel,8482117,Canucks,Bruins,,,,,needs_date
38,Alex Steeves,8482634,Maple Leafs,Bruins,,,,,needs_date
41,Jordan Harris,8480887,Blue Jackets,Bruins,,,,,needs_date
49,Sam Carrick,8475842,Rangers,Sabres,,,,,needs_date
50,Justin Danforth,8479941,Blue Jackets,Sabres,,,,,needs_date
51,Josh Doan,8482659,Utah Hockey Club,Sabres,,,,,needs_date
62,Tanner Pearson,8476871,Golden Knights,Jets,,,,,needs_date
62,Tanner Pearson,8476871,Jets,Sabres,,,,,needs_date
70,Michael Kesselring,8480891,Utah Hockey Club,Sabres,,,,,needs_date
74,Luke Schenn,8474568,Jets,Sabres,,,,,needs_date
75,Logan Stanley,8479378,Jets,Sabres,,,,,needs_date
76,Conor Timmins,8479982,Penguins,Sabres,,,,,needs_date
78,John Beecher,8481556,Bruins,Flames,,,,,needs_date
90,Victor Olofsson,8478109,Golden Knights,Avalanche,,,,,needs_date
90,Victor Olofsson,8478109,Avalanche,Flames,,,,,needs_date
93,Ryan Strome,8476458,Ducks,Flames,,,,,needs_date
101,Olli Maatta,8476874,Utah Hockey Club,Mammoth,,,,,needs_date
101,Olli Maatta,8476874,Mammoth,Flames,,,,,needs_date
104,Zach Whitecloud,8480727,Golden Knights,Flames,,,,,needs_date
109,Nicolas Deslauriers,8475235,Flyers,Hurricanes,,,,,needs_date
110,Nikolaj Ehlers,8477940,Jets,Hurricanes,,,,,needs_date
122,K'Andre Miller,8480817,Rangers,Hurricanes,,,,,needs_date
124,Mike Reilly,8476422,Islanders,Hurricanes,,,,,needs_date
130,Andre Burakovsky,8477444,Kraken,Blackhawks,,,,,needs_date
134,Sam Lafferty,8478043,Sabres,Blackhawks,,,,,needs_date
136,Andrew Mangiapane,8478233,Capitals,Oilers,,,,,needs_date
136,Andrew Mangiapane,8478233,Oilers,Blackhawks,,,,,needs_date
142,Dominic Toninato,8476952,Jets,Blackhawks,,,,,needs_date
145,Matt Grzelcyk,8476891,Penguins,Blackhawks,,,,,needs_date
154,Nazem Kadri,8475172,Flames,Avalanche,,,,,needs_date
164,Nicolas Roy,8478462,Golden Knights,Maple Leafs,,,,,needs_date
164,Nicolas Roy,8478462,Maple Leafs,Avalanche,,,,,needs_date
166,Nick Blankenburg,8483565,Predators,Avalanche,,,,,needs_date
167,Brent Burns,8470613,Hurricanes,Avalanche,,,,,needs_date
168,Brett Kulak,8476967,Oilers,Penguins,,,,,needs_date
168,Brett Kulak,8476967,Penguins,Avalanche,,,,,needs_date
173,Charlie Coyle,8475745,Avalanche,Blue Jackets,,,,,needs_date
175,Conor Garland,8478856,Canucks,Blue Jackets,,,,,needs_date
176,Danton Heinen,8478046,Penguins,Blue Jackets,,,,,needs_date
179,Isac Lundeström,8480806,Ducks,Blue Jackets,,,,,needs_date
181,Mason Marchment,8478975,Stars,Kraken,,,,,needs_date
181,Mason Marchment,8478975,Kraken,Blue Jackets,,,,,needs_date
186,Miles Wood,8477425,Avalanche,Blue Jackets,,,,,needs_date
193,Brendan Smith,8474090,Stars,Blue Jackets,,,,,needs_date
195,Egor Zamula,8481178,Flyers,Blue Jackets,,,,,needs_date
196,Nathan Bastian,8479414,Devils,Stars,,,,,needs_date
200,Michael Bunting,8478047,Predators,Stars,,,,,needs_date
204,Radek Faksa,8476889,Blues,Stars,,,,,needs_date
220,Tyler Myers,8474574,Canucks,Stars,,,,,needs_date
222,Mason Appleton,8478891,Jets,Red Wings,,,,,needs_date
230,David Perron,8474102,Senators,Red Wings,,,,,needs_date
233,James van Riemsdyk,8474037,Blue Jackets,Red Wings,,,,,needs_date
234,Jacob Bernard-Docker,8480879,Sabres,Red Wings,,,,,needs_date
237,Justin Faulk,8475753,Blues,Red Wings,,,,,needs_date
238,Travis Hamonic,8474612,Senators,Red Wings,,,,,needs_date
241,Colton Dach,8482703,Blackhawks,Oilers,,,,,needs_date
242,Jason Dickinson,8477450,Blackhawks,Oilers,,,,,needs_date
