player_id,full_name,nhl_player_id,jersey_list_member,jersey_rank,asg2024_member,asg2024_votes,asg_fanvote_seasons,match_note
133,Ryan Greene,8483450,0,,0,,,
134,Sam Lafferty,8478043,0,,0,,,
135,Nick Lardis,8484185,0,,0,,,
136,Andrew Mangiapane,8478233,0,,0,,,
137,Ilya Mikheyev,8481624,0,,0,,,
138,Oliver Moore,8484197,0,,0,,,
139,Frank Nazar,8483493,0,,0,,,
140,Landon Slaggert,8482172,0,,0,,,
141,Teuvo Teravainen,8476882,0,,0,,,
142,Dominic Toninato,8476952,0,,0,,,
143,Louis Crevier,8481806,0,,0,,,
144,Ethan Del Mastro,8482807,0,,0,,,
145,Matt Grzelcyk,8476891,0,,0,,,
146,Wyatt Kaiser,8482176,0,,0,,,
147,Kevin Korchinski,8483466,0,,0,,,
148,Artyom Levshunov,8484783,0,,0,,,
149,Sam Rinzel,8483506,0,,0,,,
150,Alex Vlasic,8481568,0,,0,,,
151,Zakhar Bardakov,8482947,0,,0,,,
152,Ross Colton,8479525,0,,0,,,
153,Jack Drury,8480835,0,,0,,,
154,Nazem Kadri,8475172,0,,1,,2022,
155,Parker Kelly,8480448,0,,0,,,
156,Joel Kiviranta,8481641,0,,0,,,
157,Gabriel Landeskog,8476455,0,,0,,,
158,Artturi Lehkonen,8477476,0,,0,,,
159,Nathan MacKinnon,8477492,1,6,1,,"2022,2023",
160,Martin Necas,8480039,0,,0,,,
161,Brock Nelson,8475754,0,,0,,,
162,Valeri Nichushkin,8477501,0,,0,,,
163,Logan O'Connor,8481186,0,,0,,,
164,Nicolas Roy,8478462,0,,0,,,
165,Jack Ahcan,8482072,0,,0,,,
166,Nick Blankenburg,8483565,0,,0,,,
167,Brent Burns,8470613,0,,0,,,
168,Brett Kulak,8476967,0,,0,,,
169,Cale Makar,8480069,1,7,1,,2024,
170,Sam Malinski,8484258,0,,0,,,
171,Josh Manson,8476312,0,,0,,,
172,Devon Toews,8478038,0,,0,,,
173,Charlie Coyle,8475745,0,,0,,,
174,Adam Fantilli,8484166,0,,0,,,
175,Conor Garland,8478856,0,,0,,,
176,Danton Heinen,8478046,0,,0,,,
177,Boone Jenner,8476432,0,,0,,,
178,Kent Johnson,8482660,0,,0,,,
179,Isac Lundeström,8480806,0,,0,,,
180,Kirill Marchenko,8480893,0,,0,,,
181,Mason Marchment,8478975,0,,0,,,
182,Sean Monahan,8477497,0,,0,,,
183,Mathieu Olivier,8479671,0,,0,,,
184,Cole Sillinger,8482705,0,,0,,,
185,Dmitri Voronkov,8481716,0,,0,,,
186,Miles Wood,8477425,0,,0,,,
187,Jake Christiansen,8481161,0,,0,,,
188,Dante Fabbro,8479371,0,,0,,,
189,Erik Gudbranson,8475790,0,,0,,,
190,Denton Mateychuk,8483485,0,,0,,,
191,Ivan Provorov,8478500,0,,0,,,
192,Damon Severson,8476923,0,,0,,,
193,Brendan Smith,8474090,0,,0,,,
194,Zach Werenski,8478460,0,,0,,,
195,Egor Zamula,8481178,0,,0,,,
196,Nathan Bastian,8479414,0,,0,,,
197,Jamie Benn,8473994,0,,0,,,
198,Colin Blackwell,8476278,0,,0,,,
199,Mavrik Bourque,8482145,0,,0,,,
200,Michael Bunting,8478047,0,,0,,,
201,Oskar Bäck,8480840,0,,0,,,
202,Matt Duchene,8475168,0,,0,,,
203,Adam Erne,8477454,0,,0,,,
204,Radek Faksa,8476889,0,,0,,,
205,Roope Hintz,8478449,0,,0,,,
206,Justin Hryckowian,8484829,0,,0,,,
207,Arttu Hyry,8484938,0,,0,,,
208,Wyatt Johnston,8482740,0,,0,,,
209,Mikko Rantanen,8478420,0,,1,,2023,
210,Jason Robertson,8480027,0,,0,,,
211,Tyler Seguin,8475794,0,,0,,,
212,Sam Steel,8479351,0,,0,,,
213,Lian Bichsel,8483425,0,,0,,,
214,Kyle Capobianco,8478476,0,,0,,,
215,Thomas Harley,8481581,0,,0,,,
216,Miro Heiskanen,8480036,0,,0,,,
217,Esa Lindell,8476902,0,,0,,,
218,Nils Lundkvist,8480878,0,,0,,,
