team_code,first_name,last_name,position,wikipedia_slug,wiki_12mo
NJD,Evgenii,Dadonov,L,Evgenii_Dadonov,36612
NJD,Cody,Glass,C,Cody_Glass,36816
NJD,Arseny,Gritsyuk,R,Arseny_Gritsyuk,529
NJD,Nico,Hischier,C,Nico_Hischier,105278
NJD,Jack,Hughes,C,Jack_Hughes,2563852
NJD,Zack,MacEwen,R,Zack_MacEwen,15850
NJD,Timo,Meier,R,Timo_Meier,47058
NJD,Dawson,Mercer,C,Dawson_Mercer,25656
NJD,Stefan,Noesen,R,Stefan_Noesen,15120
NJD,Maxim,Tsyplakov,R,Maxim_Tsyplakov,20806
NJD,Dennis,Cholowski,D,Dennis_Cholowski,13885
NJD,Brenden,Dillon,D,Brenden_Dillon,45205
NJD,Dougie,Hamilton,D,Dougie_Hamilton,56996
NJD,Luke,Hughes,D,Luke_Hughes,1780
NJD,Johnathan,Kovacevic,D,Johnathan_Kovacevic,17051
NJD,Simon,Nemec,D,Simon_Nemec,805
NJD,Brett,Pesce,D,Brett_Pesce,15488
NJD,Jonas,Siegenthaler,D,Jonas_Siegenthaler,20746
NJD,Jake,Allen,G,Jake_Allen,1289
NJD,Jacob,Markstrom,G,Jacob_Markstrom,890
OTT,Michael,Amadio,R,Michael_Amadio,15874
OTT,Drake,Batherson,R,Drake_Batherson,43475
OTT,Tyler,Boucher,R,Tyler_Boucher,19375
OTT,Graeme,Clarke,R,Graeme_Clarke,10240
OTT,Nick,Cousins,C,Nick_Cousins,47343
OTT,Dylan,Cozens,C,Dylan_Cozens,47677
OTT,Lars,Eller,C,Lars_Eller,53589
OTT,Warren,Foegele,L,Warren_Foegele,29934
OTT,Claude,Giroux,R,Claude_Giroux,134262
OTT,Ridly,Greig,C,Ridly_Greig,25362
OTT,Stephen,Halliday,C,Stephen_Halliday,1349
OTT,Hayden,Hodgson,R,Hayden_Hodgson,6938
OTT,Arthur,Kaliyev,R,Arthur_Kaliyev,40159
OTT,Kurtis,MacDermid,L,Kurtis_MacDermid,25864
OTT,Oskar,Pettersson,R,Oskar_Pettersson,3
OTT,Shane,Pinto,C,Shane_Pinto,52124
OTT,Tim,Stützle,C,Tim_Stützle,73041
OTT,Brady,Tkachuk,L,Brady_Tkachuk,664011
