team_code,player_id_nhl,first_name,last_name,position,group
OTT,8480208,Drake,Batherson,R,forwards
OTT,8482674,Tyler,Boucher,R,forwards
OTT,8481578,Graeme,Clarke,R,forwards
OTT,8476393,Nick,Cousins,C,forwards
OTT,8481528,Dylan,Cozens,C,forwards
OTT,8474189,Lars,Eller,C,forwards
OTT,8477998,Warren,Foegele,L,forwards
OTT,8473512,Claude,Giroux,R,forwards
OTT,8482092,Ridly,Greig,C,forwards
OTT,8483676,Stephen,Halliday,C,forwards
OTT,8478173,Hayden,Hodgson,R,forwards
OTT,8481560,Arthur,Kaliyev,R,forwards
OTT,8477073,Kurtis,MacDermid,L,forwards
OTT,8483673,Oskar,Pettersson,R,forwards
OTT,8481596,Shane,Pinto,C,forwards
OTT,8482116,Tim,Stützle,C,forwards
OTT,8480801,Brady,Tkachuk,L,forwards
OTT,8480188,Fabian,Zetterlund,L,forwards
OTT,8478469,Thomas,Chabot,D,defensemen
OTT,8480075,Cameron,Crotty,D,defensemen
OTT,8478502,Dennis,Gilbert,D,defensemen
OTT,8475324,Nick,Jensen,D,defensemen
OTT,8482095,Tyler,Kleven,D,defensemen
OTT,8484321,Nikolas,Matinpalo,D,defensemen
OTT,8482105,Jake,Sanderson,D,defensemen
OTT,8481606,Jordan,Spence,D,defensemen
OTT,8481575,Lassi,Thomson,D,defensemen
OTT,8484759,Carter,Yakemchuk,D,defensemen
OTT,8482245,Artem,Zub,D,defensemen
OTT,8482447,Leevi,Meriläinen,G,goalies
OTT,8473503,James,Reimer,G,goalies
OTT,8476999,Linus,Ullmark,G,goalies
PIT,8478569,Noel,Acciari,C,forwards
PIT,8479638,Justin,Brazeau,R,forwards
PIT,8482475,Egor,Chinakhov,R,forwards
PIT,8471675,Sidney,Crosby,C,forwards
PIT,8480980,Connor,Dewar,C,forwards
PIT,8480842,Filip,Hallander,C,forwards
PIT,8475763,Kevin,Hayes,R,forwards
PIT,8485414,Ben,Kindel,C,forwards
PIT,8482758,Ville,Koivunen,R,forwards
PIT,8481481,Blake,Lizotte,C,forwards
PIT,8471215,Evgeni,Malkin,C,forwards
PIT,8477511,Anthony,Mantha,R,forwards
PIT,8478438,Tommy,Novak,C,forwards
PIT,8476483,Rickard,Rakell,R,forwards
PIT,8475810,Bryan,Rust,R,forwards
PIT,8481725,Elmer,Soderblom,L,forwards
PIT,8477365,Connor,Clifton,D,defensemen
PIT,8479398,Samuel,Girard,D,defensemen
PIT,8477435,Ryan,Graves,D,defensemen
PIT,8474578,Erik,Karlsson,D,defensemen
PIT,8471724,Kris,Letang,D,defensemen
PIT,8486169,Jake,Livanavage,D,defensemen
PIT,8478854,Ryan,Shea,D,defensemen
PIT,8482470,Ilya,Solovyov,D,defensemen
PIT,8481030,Jack,St. Ivany,D,defensemen
PIT,8478450,Parker,Wotherspoon,D,defensemen
PIT,8481668,Arturs,Silovs,G,goalies
PIT,8479973,Stuart,Skinner,G,goalies
SJS,8484801,Macklin,Celebrini,C,forwards
SJS,8480848,Ty,Dellandrea,C,forwards
SJS,8482667,William,Eklund,L,forwards
SJS,8478874,Adam,Gaudette,R,forwards
SJS,8476624,Barclay,Goodrow,C,forwards
SJS,8484911,Collin,Graf,R,forwards
SJS,8480798,Philipp,Kurashev,C,forwards
SJS,8485402,Michael,Misa,C,forwards
SJS,8482859,Zack,Ostapchuk,C,forwards
SJS,8471817,Ryan,Reaves,R,forwards
SJS,8483630,Pavol,Regenda,L,forwards
SJS,8480748,Kiefer,Sherwood,L,forwards
SJS,8484227,Will,Smith,C,forwards
SJS,8475726,Tyler,Toffoli,C,forwards
SJS,8477505,Alexander,Wennberg,C,forwards
SJS,8479576,Vincent,Desharnais,D,defensemen
SJS,8484806,Sam,Dickinson,D,defensemen
SJS,8479983,Mario,Ferraro,D,defensemen
SJS,8475906,John,Klingberg,D,defensemen
SJS,8475181,Nick,Leddy,D,defensemen
SJS,8482166,Shakir,Mukhamadullin,D,defensemen
SJS,8475200,Dmitry,Orlov,D,defensemen
SJS,8482137,Yaroslav,Askarov,G,goalies
SJS,8477968,Alex,Nedeljkovic,G,goalies
TBL,8477416,Oliver,Bjorkstrand,R,forwards
