player_id,full_name,nhl_player_id,team_code,season,position,age,ppg,toi_per_game,games_played,fetch_date
25,Viktor Arvidsson,8478042,BOS,20232024,L,30,0.8333,16.7,18,2026-08-07
25,Viktor Arvidsson,8478042,BOS,20242025,L,31,0.403,15.0,67,2026-08-07
25,Viktor Arvidsson,8478042,BOS,20252026,L,32,0.7826,14.6,69,2026-08-07
26,Michael Eyssimont,8479591,BOS,20232024,C,27,0.3086,11.85,81,2026-08-07
26,Michael Eyssimont,8479591,BOS,20242025,C,28,0.2078,10.618,77,2026-08-07
26,Michael Eyssimont,8479591,BOS,20252026,C,29,0.3214,10.917,56,2026-08-07
27,Morgan Geekie,8479987,BOS,20232024,C,25,0.5132,15.417,76,2026-08-07
27,Morgan Geekie,8479987,BOS,20242025,C,26,0.7403,16.917,77,2026-08-07
27,Morgan Geekie,8479987,BOS,20252026,C,27,0.8395,17.4,81,2026-08-07
28,James Hagens,8485395,BOS,20232024,C,17,,,,2026-08-07
28,James Hagens,8485395,BOS,20242025,C,18,,,,2026-08-07
28,James Hagens,8485395,BOS,20252026,C,19,0.5,14.55,2,2026-08-07
29,Tanner Jeannot,8479661,BOS,20232024,L,26,0.2545,12.017,55,2026-08-07
29,Tanner Jeannot,8479661,BOS,20242025,L,27,0.194,11.017,67,2026-08-07
29,Tanner Jeannot,8479661,BOS,20252026,L,28,0.2857,12.65,77,2026-08-07
30,Mark Kastelic,8480355,BOS,20232024,C,24,0.1587,7.717,63,2026-08-07
30,Mark Kastelic,8480355,BOS,20242025,C,25,0.2295,10.733,61,2026-08-07
30,Mark Kastelic,8480355,BOS,20252026,C,26,0.2683,12.617,82,2026-08-07
31,Marat Khusnutdinov,8482177,BOS,20232024,C,21,0.25,13.117,16,2026-08-07
31,Marat Khusnutdinov,8482177,BOS,20242025,C,22,0.16,12.085,75,2026-08-07
31,Marat Khusnutdinov,8482177,BOS,20252026,C,23,0.4286,14.5,77,2026-08-07
32,Sean Kuraly,8476374,BOS,20232024,C,31,0.2903,13.733,62,2026-08-07
32,Sean Kuraly,8476374,BOS,20242025,C,32,0.2073,11.767,82,2026-08-07
32,Sean Kuraly,8476374,BOS,20252026,C,33,0.2683,13.333,82,2026-08-07
33,Elias Lindholm,8477496,BOS,20232024,C,29,0.5867,19.693,75,2026-08-07
33,Elias Lindholm,8477496,BOS,20242025,C,30,0.5732,18.083,82,2026-08-07
33,Elias Lindholm,8477496,BOS,20252026,C,31,0.6957,17.883,69,2026-08-07
34,Fraser Minten,8483489,BOS,20232024,C,19,0.0,11.433,4,2026-08-07
34,Fraser Minten,8483489,BOS,20242025,C,20,0.2381,13.029,21,2026-08-07
34,Fraser Minten,8483489,BOS,20252026,C,21,0.4268,15.55,82,2026-08-07
35,Casey Mittelstadt,8479999,BOS,20232024,C,25,0.7125,17.727,80,2026-08-07
35,Casey Mittelstadt,8479999,BOS,20242025,C,26,0.4938,17.063,81,2026-08-07
35,Casey Mittelstadt,8479999,BOS,20252026,C,27,0.5915,15.167,71,2026-08-07
36,David Pastrnak,8477956,BOS,20232024,R,27,1.3415,19.933,82,2026-08-07
36,David Pastrnak,8477956,BOS,20242025,R,28,1.2927,20.183,82,2026-08-07
36,David Pastrnak,8477956,BOS,20252026,R,29,1.2987,20.65,77,2026-08-07
37,Lukas Reichel,8482117,BOS,20232024,L,21,0.2462,14.117,65,2026-08-07
37,Lukas Reichel,8482117,BOS,20242025,L,22,0.3143,11.917,70,2026-08-07
37,Lukas Reichel,8482117,BOS,20252026,L,23,0.2759,12.445,29,2026-08-07
38,Alex Steeves,8482634,BOS,20232024,C,24,0.0,10.233,1,2026-08-07
38,Alex Steeves,8482634,BOS,20242025,C,25,0.2857,9.883,7,2026-08-07
38,Alex Steeves,8482634,BOS,20252026,C,26,0.3721,11.933,43,2026-08-07
39,Pavel Zacha,8478401,BOS,20232024,C,26,0.7564,18.1,78,2026-08-07
39,Pavel Zacha,8478401,BOS,20242025,C,27,0.5732,19.067,82,2026-08-07
39,Pavel Zacha,8478401,BOS,20252026,C,28,0.8333,16.85,78,2026-08-07
40,Jonathan Aspirot,8481219,BOS,20232024,D,24,,,,2026-08-07
40,Jonathan Aspirot,8481219,BOS,20242025,D,25,,,,2026-08-07
40,Jonathan Aspirot,8481219,BOS,20252026,D,26,0.2131,16.733,61,2026-08-07
41,Jordan Harris,8480887,BOS,20232024,D,23,0.25,17.467,56,2026-08-07
41,Jordan Harris,8480887,BOS,20242025,D,24,0.1515,11.383,33,2026-08-07
41,Jordan Harris,8480887,BOS,20252026,D,25,0.375,15.9,8,2026-08-07
42,Henri Jokiharju,8480035,BOS,20232024,D,24,0.2703,18.983,74,2026-08-07
42,Henri Jokiharju,8480035,BOS,20242025,D,25,0.1667,17.82,60,2026-08-07
42,Henri Jokiharju,8480035,BOS,20252026,D,26,0.3659,17.8,41,2026-08-07
43,Hampus Lindholm,8476854,BOS,20232024,D,30,0.3562,23.283,73,2026-08-07
43,Hampus Lindholm,8476854,BOS,20242025,D,31,0.4118,20.85,17,2026-08-07
43,Hampus Lindholm,8476854,BOS,20252026,D,32,0.3881,21.617,67,2026-08-07
44,Mason Lohrei,8482511,BOS,20232024,D,23,0.3171,16.95,41,2026-08-07
44,Mason Lohrei,8482511,BOS,20242025,D,24,0.4286,19.533,77,2026-08-07
44,Mason Lohrei,8482511,BOS,20252026,D,25,0.3562,16.9,73,2026-08-07
45,Charlie McAvoy,8479325,BOS,20232024,D,26,0.6351,24.85,74,2026-08-07
45,Charlie McAvoy,8479325,BOS,20242025,D,27,0.46,23.667,50,2026-08-07
45,Charlie McAvoy,8479325,BOS,20252026,D,28,0.8841,24.383,69,2026-08-07
46,Andrew Peeke,8479369,BOS,20232024,D,25,0.2632,16.4,38,2026-08-07
46,Andrew Peeke,8479369,BOS,20242025,D,26,0.2237,18.6,76,2026-08-07
46,Andrew Peeke,8479369,BOS,20252026,D,27,0.1818,19.383,77,2026-08-07
47,Nikita Zadorov,8477507,BOS,20232024,D,28,0.2667,17.44,75,2026-08-07
47,Nikita Zadorov,8477507,BOS,20242025,D,29,0.2716,20.617,81,2026-08-07
47,Nikita Zadorov,8477507,BOS,20252026,D,30,0.2716,20.883,81,2026-08-07
48,Zach Benson,8484145,BUF,20232024,L,18,0.4225,14.517,71,2026-08-07
48,Zach Benson,8484145,BUF,20242025,L,19,0.3733,14.817,75,2026-08-07
48,Zach Benson,8484145,BUF,20252026,L,20,0.6615,15.883,65,2026-08-07
49,Sam Carrick,8475842,BUF,20232024,C,31,0.2078,12.228,77,2026-08-07
49,Sam Carrick,8475842,BUF,20242025,C,32,0.25,11.933,80,2026-08-07
49,Sam Carrick,8475842,BUF,20252026,C,33,0.2192,10.476,73,2026-08-07
50,Justin Danforth,8479941,BUF,20232024,R,30,0.3662,14.267,71,2026-08-07
50,Justin Danforth,8479941,BUF,20242025,R,31,0.3443,14.383,61,2026-08-07
50,Justin Danforth,8479941,BUF,20252026,R,32,0.0,11.7,4,2026-08-07
51,Josh Doan,8482659,BUF,20232024,R,22,0.8182,12.317,11,2026-08-07
51,Josh Doan,8482659,BUF,20242025,R,23,0.3725,13.517,51,2026-08-07
51,Josh Doan,8482659,BUF,20252026,R,24,0.6341,15.867,82,2026-08-07
52,Josh Dunne,8482623,BUF,20232024,C,25,,,,2026-08-07
52,Josh Dunne,8482623,BUF,20242025,C,26,0.0,7.1,2,2026-08-07
52,Josh Dunne,8482623,BUF,20252026,C,27,0.1176,9.483,34,2026-08-07
53,Jordan Greenway,8478413,BUF,20232024,L,26,0.4179,17.25,67,2026-08-07
