player_id,full_name,nhl_player_id,capwages_nhlid,cap_hit_M,season,contract_type,cap_quality,cap_note,source_url,fetched_at
14,Jeffrey Viel,8479705,8479705,,2023-24,,low,did not play this season,https://capwages.com/players/jeffrey-viel,2026-08-08T18:53:41.068777+00:00
14,Jeffrey Viel,8479705,8479705,0.7750,2024-25,Two-Way Contract ,ok,,https://capwages.com/players/jeffrey-viel,2026-08-08T18:53:41.068777+00:00
14,Jeffrey Viel,8479705,8479705,0.7750,2025-26,Two-Way Contract ,ok,,https://capwages.com/players/jeffrey-viel,2026-08-08T18:53:41.068777+00:00
15,Tim Washe,8485512,8485512,,2023-24,,low,no 2023-24 detail,https://capwages.com/players/tim-washe,2026-08-08T18:53:41.068777+00:00
15,Tim Washe,8485512,8485512,,2024-25,,low,no 2024-25 detail,https://capwages.com/players/tim-washe,2026-08-08T18:53:41.068777+00:00
15,Tim Washe,8485512,8485512,0.8125,2025-26,Two-Way Contract ,ok,,https://capwages.com/players/tim-washe,2026-08-08T18:53:41.068777+00:00
16,John Carlson,8474590,8474590,8.0000,2023-24,Standard Contract (Extension),ok,,https://capwages.com/players/john-carlson,2026-08-08T18:53:41.068777+00:00
16,John Carlson,8474590,8474590,8.0000,2024-25,Standard Contract (Extension),ok,,https://capwages.com/players/john-carlson,2026-08-08T18:53:41.068777+00:00
16,John Carlson,8474590,8474590,8.0000,2025-26,Standard Contract (Extension),ok,,https://capwages.com/players/john-carlson,2026-08-08T18:53:41.068777+00:00
17,Radko Gudas,8475462,8475462,4.0000,2023-24,Standard Contract,ok,,https://capwages.com/players/radko-gudas,2026-08-08T18:53:41.068777+00:00
17,Radko Gudas,8475462,8475462,4.0000,2024-25,Standard Contract,ok,,https://capwages.com/players/radko-gudas,2026-08-08T18:53:41.068777+00:00
17,Radko Gudas,8475462,8475462,4.0000,2025-26,Standard Contract,ok,,https://capwages.com/players/radko-gudas,2026-08-08T18:53:41.068777+00:00
18,Drew Helleson,8481563,8481563,,2023-24,,low,did not play this season,https://capwages.com/players/drew-helleson,2026-08-08T18:53:41.068777+00:00
18,Drew Helleson,8481563,8481563,0.9250,2024-25,Entry-Level Contract,ok,,https://capwages.com/players/drew-helleson,2026-08-08T18:53:41.068777+00:00
18,Drew Helleson,8481563,8481563,1.1000,2025-26,Two-Way Contract,ok,,https://capwages.com/players/drew-helleson,2026-08-08T18:53:41.068777+00:00
19,Tyson Hinds,8482731,8482731,,2023-24,,low,did not play this season,https://capwages.com/players/tyson-hinds,2026-08-08T18:53:41.068777+00:00
19,Tyson Hinds,8482731,8482731,,2024-25,,low,did not play this season,https://capwages.com/players/tyson-hinds,2026-08-08T18:53:41.068777+00:00
19,Tyson Hinds,8482731,8482731,0.8294,2025-26,Entry-Level Contract,ok,,https://capwages.com/players/tyson-hinds,2026-08-08T18:53:41.068777+00:00
20,Jackson LaCombe,8481605,8481605,0.9250,2023-24,Entry-Level Contract,ok,,https://capwages.com/players/jackson-lacombe,2026-08-08T18:53:41.068777+00:00
20,Jackson LaCombe,8481605,8481605,0.9250,2024-25,Standard Contract,ok,,https://capwages.com/players/jackson-lacombe,2026-08-08T18:53:41.068777+00:00
20,Jackson LaCombe,8481605,8481605,0.9250,2025-26,Standard Contract,ok,,https://capwages.com/players/jackson-lacombe,2026-08-08T18:53:41.068777+00:00
21,Pavel Mintyukov,8483490,8483490,0.9183,2023-24,Entry-Level Contract,ok,,https://capwages.com/players/pavel-mintyukov,2026-08-08T18:53:41.068777+00:00
21,Pavel Mintyukov,8483490,8483490,0.9183,2024-25,Entry-Level Contract,ok,,https://capwages.com/players/pavel-mintyukov,2026-08-08T18:53:41.068777+00:00
21,Pavel Mintyukov,8483490,8483490,0.9183,2025-26,Entry-Level Contract,ok,,https://capwages.com/players/pavel-mintyukov,2026-08-08T18:53:41.068777+00:00
22,Ian Moore,8482178,8482178,,2023-24,,low,no 2023-24 detail,https://capwages.com/players/ian-moore,2026-08-08T18:53:41.068777+00:00
22,Ian Moore,8482178,8482178,0.9250,2024-25,Entry-Level Contract,ok,,https://capwages.com/players/ian-moore,2026-08-08T18:53:41.068777+00:00
22,Ian Moore,8482178,8482178,0.9250,2025-26,Entry-Level Contract,ok,,https://capwages.com/players/ian-moore,2026-08-08T18:53:41.068777+00:00
23,Jacob Trouba,8476885,8476885,8.0000,2023-24,Standard Contract,ok,,https://capwages.com/players/jacob-trouba,2026-08-08T18:53:41.068777+00:00
23,Jacob Trouba,8476885,8476885,8.0000,2024-25,Standard Contract,ok,,https://capwages.com/players/jacob-trouba,2026-08-08T18:53:41.068777+00:00
23,Jacob Trouba,8476885,8476885,8.0000,2025-26,Standard Contract,ok,,https://capwages.com/players/jacob-trouba,2026-08-08T18:53:41.068777+00:00
24,Olen Zellweger,8482803,8482803,0.8442,2023-24,Entry-Level Contract,ok,,https://capwages.com/players/olen-zellweger,2026-08-08T18:53:41.068777+00:00
24,Olen Zellweger,8482803,8482803,0.8442,2024-25,Entry-Level Contract,ok,,https://capwages.com/players/olen-zellweger,2026-08-08T18:53:41.068777+00:00
24,Olen Zellweger,8482803,8482803,0.8442,2025-26,Entry-Level Contract,ok,,https://capwages.com/players/olen-zellweger,2026-08-08T18:53:41.068777+00:00
25,Viktor Arvidsson,8478042,8478042,4.2500,2023-24,Standard Contract,ok,,https://capwages.com/players/viktor-arvidsson,2026-08-08T18:53:41.068777+00:00
25,Viktor Arvidsson,8478042,8478042,4.0000,2024-25,Standard Contract,ok,,https://capwages.com/players/viktor-arvidsson,2026-08-08T18:53:41.068777+00:00
25,Viktor Arvidsson,8478042,8478042,4.0000,2025-26,Standard Contract,ok,,https://capwages.com/players/viktor-arvidsson,2026-08-08T18:53:41.068777+00:00
26,Michael Eyssimont,8479591,8479591,0.8000,2023-24,Standard Contract (Extension),ok,,https://capwages.com/players/michael-eyssimont,2026-08-08T18:53:41.068777+00:00
26,Michael Eyssimont,8479591,8479591,0.8000,2024-25,Standard Contract (Extension),ok,,https://capwages.com/players/michael-eyssimont,2026-08-08T18:53:41.068777+00:00
26,Michael Eyssimont,8479591,8479591,1.4500,2025-26,Standard Contract,ok,,https://capwages.com/players/michael-eyssimont,2026-08-08T18:53:41.068777+00:00
27,Morgan Geekie,8479987,8479987,2.0000,2023-24,Standard Contract,ok,,https://capwages.com/players/morgan-geekie,2026-08-08T18:53:41.068777+00:00
27,Morgan Geekie,8479987,8479987,2.0000,2024-25,Standard Contract,ok,,https://capwages.com/players/morgan-geekie,2026-08-08T18:53:41.068777+00:00
27,Morgan Geekie,8479987,8479987,5.5000,2025-26,Standard Contract (Extension),ok,,https://capwages.com/players/morgan-geekie,2026-08-08T18:53:41.068777+00:00
28,James Hagens,8485395,8485395,,2023-24,,low,no 2023-24 detail,https://capwages.com/players/james-hagens,2026-08-08T18:53:41.068777+00:00
28,James Hagens,8485395,8485395,,2024-25,,low,no 2024-25 detail,https://capwages.com/players/james-hagens,2026-08-08T18:53:41.068777+00:00
28,James Hagens,8485395,8485395,0.9750,2025-26,Entry-Level Contract,ok,,https://capwages.com/players/james-hagens,2026-08-08T18:53:41.068777+00:00
29,Tanner Jeannot,8479661,8479661,2.6650,2023-24,Standard Contract,ok,,https://capwages.com/players/tanner-jeannot,2026-08-08T18:53:41.068777+00:00
29,Tanner Jeannot,8479661,8479661,2.6650,2024-25,Standard Contract,ok,,https://capwages.com/players/tanner-jeannot,2026-08-08T18:53:41.068777+00:00
29,Tanner Jeannot,8479661,8479661,3.4000,2025-26,Standard Contract,ok,,https://capwages.com/players/tanner-jeannot,2026-08-08T18:53:41.068777+00:00
30,Mark Kastelic,8480355,8480355,0.8350,2023-24,Standard Contract (Extension),ok,,https://capwages.com/players/mark-kastelic,2026-08-08T18:53:41.068777+00:00
30,Mark Kastelic,8480355,8480355,0.8350,2024-25,Standard Contract (Extension),ok,,https://capwages.com/players/mark-kastelic,2026-08-08T18:53:41.068777+00:00
30,Mark Kastelic,8480355,8480355,1.5667,2025-26,Two-Way Contract ,ok,,https://capwages.com/players/mark-kastelic,2026-08-08T18:53:41.068777+00:00
31,Marat Khusnutdinov,8482177,8482177,0.9250,2023-24,Entry-Level Contract,ok,,https://capwages.com/players/marat-khusnutdinov,2026-08-08T18:53:41.068777+00:00
31,Marat Khusnutdinov,8482177,8482177,0.9250,2024-25,Entry-Level Contract,ok,,https://capwages.com/players/marat-khusnutdinov,2026-08-08T18:53:41.068777+00:00
31,Marat Khusnutdinov,8482177,8482177,0.9250,2025-26,Standard Contract (Extension),ok,,https://capwages.com/players/marat-khusnutdinov,2026-08-08T18:53:41.068777+00:00
32,Sean Kuraly,8476374,8476374,2.5000,2023-24,Standard Contract,ok,,https://capwages.com/players/sean-kuraly,2026-08-08T18:53:41.068777+00:00
32,Sean Kuraly,8476374,8476374,2.5000,2024-25,Standard Contract,ok,,https://capwages.com/players/sean-kuraly,2026-08-08T18:53:41.068777+00:00
32,Sean Kuraly,8476374,8476374,1.8500,2025-26,Standard Contract,ok,,https://capwages.com/players/sean-kuraly,2026-08-08T18:53:41.068777+00:00
33,Elias Lindholm,8477496,8477496,4.8500,2023-24,Standard Contract,ok,,https://capwages.com/players/elias-lindholm,2026-08-08T18:53:41.068777+00:00
33,Elias Lindholm,8477496,8477496,7.7500,2024-25,Standard Contract,ok,,https://capwages.com/players/elias-lindholm,2026-08-08T18:53:41.068777+00:00
33,Elias Lindholm,8477496,8477496,7.7500,2025-26,Standard Contract,ok,,https://capwages.com/players/elias-lindholm,2026-08-08T18:53:41.068777+00:00
34,Fraser Minten,8483489,8483489,0.8458,2023-24,Entry-Level Contract,ok,,https://capwages.com/players/fraser-minten,2026-08-08T18:53:41.068777+00:00
34,Fraser Minten,8483489,8483489,0.8167,2024-25,Entry-Level Contract,ok,,https://capwages.com/players/fraser-minten,2026-08-08T18:53:41.068777+00:00
34,Fraser Minten,8483489,8483489,0.8167,2025-26,Entry-Level Contract,ok,,https://capwages.com/players/fraser-minten,2026-08-08T18:53:41.068777+00:00
35,Casey Mittelstadt,8479999,8479999,2.5000,2023-24,Standard Contract,ok,,https://capwages.com/players/casey-mittelstadt,2026-08-08T18:53:41.068777+00:00
35,Casey Mittelstadt,8479999,8479999,5.7500,2024-25,Standard Contract (Extension),ok,,https://capwages.com/players/casey-mittelstadt,2026-08-08T18:53:41.068777+00:00
35,Casey Mittelstadt,8479999,8479999,5.7500,2025-26,Standard Contract (Extension),ok,,https://capwages.com/players/casey-mittelstadt,2026-08-08T18:53:41.068777+00:00
36,David Pastrnak,8477956,8477956,11.2500,2023-24,Standard Contract (Extension),ok,,https://capwages.com/players/david-pastrnak,2026-08-08T18:53:41.068777+00:00
36,David Pastrnak,8477956,8477956,11.2500,2024-25,Standard Contract (Extension),ok,,https://capwages.com/players/david-pastrnak,2026-08-08T18:53:41.068777+00:00
36,David Pastrnak,8477956,8477956,11.2500,2025-26,Standard Contract (Extension),ok,,https://capwages.com/players/david-pastrnak,2026-08-08T18:53:41.068777+00:00
37,Lukas Reichel,8482117,8482117,0.9250,2023-24,Entry-Level Contract,ok,,https://capwages.com/players/lukas-reichel,2026-08-08T18:53:41.068777+00:00
37,Lukas Reichel,8482117,8482117,1.2000,2024-25,Two-Way Contract (Extension),ok,,https://capwages.com/players/lukas-reichel,2026-08-08T18:53:41.068777+00:00
37,Lukas Reichel,8482117,8482117,1.2000,2025-26,Two-Way Contract (Extension),ok,,https://capwages.com/players/lukas-reichel,2026-08-08T18:53:41.068777+00:00
38,Alex Steeves,8482634,8482634,0.8342,2023-24,Entry-Level Contract,ok,,https://capwages.com/players/alex-steeves,2026-08-08T18:53:41.068777+00:00
38,Alex Steeves,8482634,8482634,0.7750,2024-25,Two-Way Contract,ok,,https://capwages.com/players/alex-steeves,2026-08-08T18:53:41.068777+00:00
38,Alex Steeves,8482634,8482634,0.8500,2025-26,Standard Contract,ok,,https://capwages.com/players/alex-steeves,2026-08-08T18:53:41.068777+00:00
