player_id,full_name,nhl_player_id,capwages_nhlid,cap_hit_M,season,cap_quality,cap_note,source_url,fetched_at
45,Thomas Harley,8481581,8481581,4.0000,2025-26,ok,,https://capwages.com/players/thomas-harley,2026-05-27T16:15:20.795074+00:00
46,Carter Mazur,8482802,8482802,0.9058,2025-26,ok,,https://capwages.com/players/carter-mazur,2026-05-27T16:15:20.795074+00:00
47,Emmitt Finnie,8484471,8484471,0.8717,2025-26,ok,,https://capwages.com/players/emmitt-finnie,2026-05-27T16:15:20.795074+00:00
48,Lucas Raymond,8482078,8482078,8.0750,2025-26,ok,,https://capwages.com/players/lucas-raymond,2026-05-27T16:15:20.795074+00:00
49,Simon Edvinsson,8482762,8482762,0.8942,2025-26,ok,,https://capwages.com/players/simon-edvinsson,2026-05-27T16:15:20.795074+00:00
50,Moritz Seider,8481542,8481542,8.5500,2025-26,ok,,https://capwages.com/players/moritz-seider,2026-05-27T16:15:20.795074+00:00
51,Leon Draisaitl,8477934,8477934,14.0000,2025-26,ok,,https://capwages.com/players/leon-draisaitl,2026-05-27T16:15:20.795074+00:00
52,Connor McDavid,8478402,8478402,12.5000,2025-26,ok,,https://capwages.com/players/connor-mcdavid,2026-05-27T16:15:20.795074+00:00
53,Kasperi Kapanen,8477953,8477953,1.3000,2025-26,ok,,https://capwages.com/players/kasperi-kapanen,2026-05-27T16:15:20.795074+00:00
54,Mattias Ekholm,8475218,8475218,6.2500,2025-26,ok,,https://capwages.com/players/mattias-ekholm,2026-05-27T16:15:20.795074+00:00
55,Evan Bouchard,8480803,8480803,10.5000,2025-26,ok,,https://capwages.com/players/evan-bouchard,2026-05-27T16:15:20.795074+00:00
56,Matthew Tkachuk,8479314,8479314,9.5000,2025-26,ok,,https://capwages.com/players/matthew-tkachuk,2026-05-27T16:15:20.795074+00:00
57,Luke Kunin,8479316,8479316,0.7750,2025-26,ok,,https://capwages.com/players/luke-kunin,2026-05-27T16:15:20.795074+00:00
58,Cole Reinhardt,8481133,8481133,0.8125,2025-26,ok,,https://capwages.com/players/cole-reinhardt,2026-05-27T16:15:20.795074+00:00
59,Donovan Sebrango,8482131,8482131,0.7750,2025-26,ok,,https://capwages.com/players/donovan-sebrango,2026-05-27T16:15:20.795074+00:00
60,Michael Benning,,,,2025-26,low,http 404,https://capwages.com/players/michael-benning,2026-05-27T16:15:20.795074+00:00
61,Artemi Panarin,8478550,8478550,11.6429,2025-26,ok,,https://capwages.com/players/artemi-panarin,2026-05-27T16:15:20.795074+00:00
62,Anze Kopitar,8471685,8471685,7.0000,2025-26,ok,,https://capwages.com/players/anze-kopitar,2026-05-27T16:15:20.795074+00:00
63,Adrian Kempe,8477960,8477960,5.5000,2025-26,ok,,https://capwages.com/players/adrian-kempe,2026-05-27T16:15:20.795074+00:00
64,Drew Doughty,8474563,8474563,11.0000,2025-26,ok,,https://capwages.com/players/drew-doughty,2026-05-27T16:15:20.795074+00:00
65,Mikey Anderson,8479998,8479998,4.1250,2025-26,ok,,https://capwages.com/players/mikey-anderson,2026-05-27T16:15:20.795074+00:00
66,Mats Zuccarello,8475692,8475692,4.1250,2025-26,ok,,https://capwages.com/players/mats-zuccarello,2026-05-27T16:15:20.795074+00:00
67,Ryan Hartman,8477451,8477451,4.0000,2025-26,ok,,https://capwages.com/players/ryan-hartman,2026-05-27T16:15:20.795074+00:00
68,Kirill Kaprizov,8478864,8478864,9.0000,2025-26,ok,,https://capwages.com/players/kirill-kaprizov,2026-05-27T16:15:20.795074+00:00
