player_id,full_name,wikipedia_slug_tried,wikipedia_slug_chosen,wikidata_qid,wiki_match,wiki_12mo,fetch_date,window_start,window_end
77,Ryan O'Reilly,Ryan_O'Reilly,Ryan_O'Reilly,Q861211,occupation,102821,2026-05-27,20250526,20260526
78,Cole O'Hara,Cole_O'Hara,Cole_O'Hara,Q133819619,occupation,3531,2026-05-27,20250526,20260526
79,Brady Skjei,Brady_Skjei,Brady_Skjei,Q2923509,occupation,38507,2026-05-27,20250526,20260526
80,Nick Perbix,Nick_Perbix,Nick_Perbix,Q110810900,occupation,14138,2026-05-27,20250526,20260526
81,Timo Meier,Timo_Meier,Timo_Meier,Q20392160,occupation,46613,2026-05-27,20250526,20260526
82,Nico Hischier,Nico_Hischier,Nico_Hischier,Q23817773,occupation,104692,2026-05-27,20250526,20260526
83,Dawson Mercer,Dawson_Mercer,Dawson_Mercer,Q99744349,occupation,25898,2026-05-27,20250526,20260526
84,Dougie Hamilton,Dougie_Hamilton,Dougie_Hamilton,Q522687,occupation,56779,2026-05-27,20250526,20260526
85,Jonas Siegenthaler,Jonas_Siegenthaler,Jonas_Siegenthaler,Q16990473,occupation,19966,2026-05-27,20250526,20260526
86,Bo Horvat,Bo_Horvat,Bo_Horvat,Q13581453,occupation,128471,2026-05-27,20250526,20260526
87,Simon Holmstrom,Simon_Holmstrom,Simon_Holmström,Q57293781,occupation,16117,2026-05-27,20250526,20260526
88,Victor Eklund,Victor_Eklund,Victor_Eklund,Q125502011,occupation,64303,2026-05-27,20250526,20260526
89,Adam Pelech,Adam_Pelech,Adam_Pelech,Q16229469,occupation,15492,2026-05-27,20250526,20260526
90,Matthew Schaefer,Matthew_Schaefer,Matthew_Schaefer,Q130416868,occupation,691632,2026-05-27,20250526,20260526
91,Mika Zibanejad,Mika_Zibanejad,Mika_Zibanejad,Q1859388,occupation,170956,2026-05-27,20250526,20260526
92,Gabriel Perreault,Gabriel_Perreault,Gabe_Perreault,Q120073173,occupation,73124,2026-05-27,20250526,20260526
93,Alexis Lafrenière,Alexis_Lafrenière,Alexis_Lafrenière,Q52012798,occupation,102759,2026-05-27,20250526,20260526
94,Adam Fox,Adam_Fox,Adam_Fox,Q60735944,occupation,81612,2026-05-27,20250526,20260526
95,Vladislav Gavrikov,Vladislav_Gavrikov,Vladislav_Gavrikov,Q20066382,occupation,42845,2026-05-27,20250526,20260526
96,Warren Foegele,Warren_Foegele,Warren_Foegele,Q51010020,occupation,29813,2026-05-27,20250526,20260526
97,Tim Stützle,Tim_Stützle,Tim_Stützle,Q70008386,occupation,72520,2026-05-27,20250526,20260526
98,Drake Batherson,Drake_Batherson,Drake_Batherson,Q58767012,occupation,43138,2026-05-27,20250526,20260526
99,Thomas Chabot,Thomas_Chabot,Thomas_Chabot,Q20070752,occupation,28976,2026-05-27,20250526,20260526
100,Jordan Spence,Jordan_Spence,Jordan_Spence_(ice_hockey),Q104591119,occupation,56916,2026-05-27,20250526,20260526
101,Travis Konecny,Travis_Konecny,Travis_Konecny,Q16229347,occupation,73070,2026-05-27,20250526,20260526
102,Christian Dvorak,Christian_Dvorak,Christian_Dvorak,Q22681273,occupation,59832,2026-05-27,20250526,20260526
103,Alex Bump,Alex_Bump,Alex_Bump,Q133500284,occupation,42563,2026-05-27,20250526,20260526
104,Travis Sanheim,Travis_Sanheim,Travis_Sanheim,Q17180909,occupation,58681,2026-05-27,20250526,20260526
105,Rasmus Ristolainen,Rasmus_Ristolainen,Rasmus_Ristolainen,Q3077970,occupation,46504,2026-05-27,20250526,20260526
106,Sidney Crosby,Sidney_Crosby,Sidney_Crosby,Q311280,occupation,1935624,2026-05-27,20250526,20260526
107,Bryan Rust,Bryan_Rust,Bryan_Rust,Q18637940,occupation,52779,2026-05-27,20250526,20260526
108,Rickard Rakell,Rickard_Rakell,Rickard_Rakell,Q1731789,occupation,35118,2026-05-27,20250526,20260526
109,Erik Karlsson,Erik_Karlsson,Erik_Karlsson,Q929159,occupation,153948,2026-05-27,20250526,20260526
110,Parker Wotherspoon,Parker_Wotherspoon,Parker_Wotherspoon,Q21683687,occupation,27322,2026-05-27,20250526,20260526
111,Igor Chernyshov,Igor_Chernyshov,Igor_Chernyshov_(ice_hockey),Q124307078,occupation,32251,2026-05-27,20250526,20260526
112,Macklin Celebrini,Macklin_Celebrini,Macklin_Celebrini,Q116369841,occupation,1272463,2026-05-27,20250526,20260526
113,Will Smith,Will_Smith,Will_Smith_(ice_hockey),Q120015664,occupation,262962,2026-05-27,20250526,20260526
